fold,strategy,total_return,annualized_return,sharpe,max_drawdown
1,PPO,1.0178,0.3403,1.62,-0.1267
1,Equal Weight,1.1898,0.3861,2.17,-0.1105
1,MVO,0.313,0.1201,0.75,-0.1901
1,Random Allocation,1.2901,0.4122,2.1,-0.1063
2,PPO,0.9622,0.3248,1.63,-0.1533
2,Equal Weight,0.5738,0.2079,1.28,-0.1578
2,MVO,0.3133,0.1202,0.76,-0.2471
2,Random Allocation,0.3713,0.1406,0.9,-0.1667
3,PPO,0.2624,0.1021,0.55,-0.2611
3,Equal Weight,0.3531,0.1342,0.73,-0.2443
3,MVO,0.3786,0.1431,0.75,-0.1998
3,Random Allocation,0.6686,0.2377,1.09,-0.2275
4,PPO,1.4814,0.4611,1.36,-0.2168
4,Equal Weight,0.8695,0.2977,0.98,-0.257
4,MVO,1.0907,0.3596,1.22,-0.2901
4,Random Allocation,0.8469,0.2912,0.94,-0.2619
5,PPO,0.7317,0.2575,1.1,-0.2351
5,Equal Weight,0.7924,0.2751,1.35,-0.1601
5,MVO,0.415,0.1556,0.73,-0.2213
5,Random Allocation,0.5966,0.2152,1.05,-0.1779
